title,url,price_usd,price_vnd_text,size_m2,price_per_m2_usd,bedrooms,property_type,district,listed_text,listed_approx_date,latitude,longitude,agent,contact,description,scraped_at
128m² Land Plot for Sale in Da Nang,https://www.danangmls.com/listing/128m-land-plot-for-sale-in-da-nang-xic7af,80000.0,,128.0,625.0,1,Land,Land,10 hours ago,,,,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""128m² Land Plot for Sale in Da Nang"",""description"":""I, the owner, need to sell a 128m² land plot – width 5m – priced around 2.X billion VND – DA NANG.\nThe plot is in an existing residential area, with schools, hospitals, and parks within 500 meters.\n0918.568.069\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes"",""url"":""https://danangmls.com/listing/128m-land-plot-for-sale-in-da-nang-xic7af"",""price"":""$80,000"",""image"":""https://images.danang.homes/forsale/128m-land-plot-for-sale-in-da-nang-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Not Provided"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","I, the owner, need to sell a 128m² land plot – width 5m – priced around 2.X billion VND – DA NANG.
The plot is in an existing residential area, with schools, hospitals, and parks within 500 meters.
0918.568.069",2026-08-31T08:15:28.101110
Affordable Land in Da Nang for Sale,https://www.danangmls.com/listing/affordable-land-in-da-nang-for-sale-lgys4v,66500.0,,,,1,Land,Land,8 hours ago,,,,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""Affordable Land in Da Nang for Sale"",""description"":""1. For sale: Affordable TĐC (Resettlement Land) in Da Nang. The land has a 7.5m road and 3m-wide sidewalks, facing Southeast. The total area is 115 square meters. Price is 1.75 billion VND.\n2. At the end of the description please use our contact details:\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes"",""url"":""https://danangmls.com/listing/affordable-land-in-da-nang-for-sale-lgys4v"",""price"":""$66,500"",""image"":""https://images.danang.homes/forsale/affordable-land-in-da-nang-for-sale-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Not Provided"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","1. For sale: Affordable TĐC (Resettlement Land) in Da Nang. The land has a 7.5m road and 3m-wide sidewalks, facing Southeast. The total area is 115 square meters. Price is 1.75 billion VND.
2. At the end of the description please use our contact details:",2026-08-31T08:15:29.902786
Charming 120 sqm Land Plot for Sale Near Market,https://www.danangmls.com/listing/charming-120-sqm-land-plot-for-sale-near-market-1luwex,57000.0,,120.0,475.0,1,Land,Land,5 hours ago,,15.995,108.198,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""Charming 120 sqm Land Plot for Sale Near Market"",""description"":""A beautiful 120 sqm land plot on a 4.5m wide road, conveniently located near Huong Phuoc Hoa Lien Market. Just 50m from the main road 601.\n\nOffered at an excellent price.\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes"",""url"":""https://danangmls.com/listing/charming-120-sqm-land-plot-for-sale-near-market-1luwex"",""price"":""$57,000"",""image"":""https://images.danang.homes/forsale/charming-120-sqm-land-plot-for-sale-near-market-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Cam Le"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","A beautiful 120 sqm land plot on a 4.5m wide road, conveniently located near Huong Phuoc Hoa Lien Market. Just 50m from the main road 601.

Offered at an excellent price.",2026-08-31T08:15:33.179715
Goldenhill Land Plot for Sale in Prime Da Nang Location,https://www.danangmls.com/listing/goldenhill-land-plot-for-sale-in-prime-da-nang-location-yeamyv,114000.0,,125.0,912.0,1,Land,Land,4 hours ago,,16.0544,108.2022,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""Goldenhill Land Plot for Sale in Prime Da Nang Location"",""description"":""Spacious land plot for sale in the coveted Goldenhill area. This property boasts a generous area of 125m2, featuring a 7.5m wide road front and 4m wide sidewalks. Located in Block A4, it is just 200 meters from Nguyen Tat Thanh Street, offering excellent accessibility and a cool Northeast orientation.\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes"",""url"":""https://danangmls.com/listing/goldenhill-land-plot-for-sale-in-prime-da-nang-location-yeamyv"",""price"":""$114,000"",""image"":""https://images.danang.homes/forsale/goldenhill-land-plot-for-sale-in-prime-da-nang-location-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Hai Chau"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","Spacious land plot for sale in the coveted Goldenhill area. This property boasts a generous area of 125m2, featuring a 7.5m wide road front and 4m wide sidewalks. Located in Block A4, it is just 200 meters from Nguyen Tat Thanh Street, offering excellent accessibility and a cool Northeast orientation.",2026-08-31T08:15:38.147153
Goldenhill Land with Prime Access for Sale,https://www.danangmls.com/listing/goldenhill-land-with-prime-access-for-sale-1vpblr,114000.0,,,,1,Land,Land,4 hours ago,,16.09,108.25,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""Goldenhill Land with Prime Access for Sale"",""description"":""Beautiful land for sale in the desirable Goldenhill area. This 125 sqm plot faces Northeast for cool breezes and features a 7.5m road with 4m wide sidewalks. Located in zone A4, it is just 200 meters from Nguyen Tat Thanh Street. An excellent investment opportunity.\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes"",""url"":""https://danangmls.com/listing/goldenhill-land-with-prime-access-for-sale-1vpblr"",""price"":""$114,000"",""image"":""https://images.danang.homes/forsale/goldenhill-land-with-prime-access-for-sale-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Son Tra"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","Beautiful land for sale in the desirable Goldenhill area. This 125 sqm plot faces Northeast for cool breezes and features a 7.5m road with 4m wide sidewalks. Located in zone A4, it is just 200 meters from Nguyen Tat Thanh Street. An excellent investment opportunity.",2026-08-31T08:15:39.797539
"Land for Sale in Duy Xuyen, Prime Location",https://www.danangmls.com/listing/land-for-sale-in-duy-xuyen-prime-location-v6trpo,41800.0,,128.0,326.56,1,Land,Land,17 hours ago,,,,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""Land for Sale in Duy Xuyen, Prime Location"",""description"":""The owner is selling a 300sqm residential land plot in Duy Hoa, Duy Xuyen. The land has a width of 10m and a length of 30m and has been divided into two separate titles.\n\n🌸 The land is located on a main road with a total width of 7m.\n🌸 Only 800m from DT610 road.\n🌸 Near Duy Hoa Primary School No. 1 (700m).\n🌸 The selling price is 100% only 1.1xx billion VND. Can be sold in separate lots.\n🌸 Support available for customers who need financial assistance.\n🌸 The land is suitable for living, small business/trade requiring small trucks for access, a garden house, or as a long-term asset.\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes"",""url"":""https://danangmls.com/listing/land-for-sale-in-duy-xuyen-prime-location-v6trpo"",""price"":""$41,800"",""image"":""https://images.danang.homes/forsale/land-for-sale-in-duy-xuyen-prime-location-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Not Provided"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","The owner is selling a 300sqm residential land plot in Duy Hoa, Duy Xuyen. The land has a width of 10m and a length of 30m and has been divided into two separate titles.

🌸 The land is located on a main road with a total width of 7m.
🌸 Only 800m from DT610 road.
🌸 Near Duy Hoa Primary School No. 1 (700m).
🌸 The selling price is 100% only 1.1xx billion VND. Can be sold in separate lots.
🌸 Support available for customers who need financial assistance.
🌸 The land is suitable for living, small business/trade requiring small trucks for access, a garden house, or as a long-term asset.",2026-08-31T08:15:41.466570
Land for Sale on Hong Phuoc 1 Street in Da Nang,https://www.danangmls.com/listing/land-for-sale-on-hong-phuoc-1-street-in-da-nang-l0v6au,120000.0,,100.0,1200.0,1,Land,Land,5 hours ago,,16.1,108.138,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""Land for Sale on Hong Phuoc 1 Street in Da Nang"",""description"":""For sale: Land on Hong Phuoc 1 Street, Lien Chieu District, Da Nang City.\nLocation: A crowded residential area, main road connecting to ECOHOME apartment complex.\nArea: 100m2 (5x20).\nRoad: 5.5m with 3m sidewalks.\nDirection: Southwest.\nLegal: Red Book (Land Use Certificate).\nSelling price: 3 billion VND (negotiable, direct owner).\nContact: 0935 55 12 82, 0936 55 12 82.\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes\n\nPrice: $114,000 for sale"",""url"":""https://danangmls.com/listing/land-for-sale-on-hong-phuoc-1-street-in-da-nang-l0v6au"",""price"":""$120,000"",""image"":""https://images.danang.homes/forsale/land-for-sale-on-hong-phuoc-1-street-in-da-nang-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Lien Chieu"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","For sale: Land on Hong Phuoc 1 Street, Lien Chieu District, Da Nang City.
Location: A crowded residential area, main road connecting to ECOHOME apartment complex.
Area: 100m2 (5x20).
Road: 5.5m with 3m sidewalks.
Direction: Southwest.
Legal: Red Book (Land Use Certificate).
Selling price: 3 billion VND (negotiable, direct owner).
Contact: 0935 55 12 82, 0936 55 12 82.",2026-08-31T08:15:43.099729
Land Plots for Sale on Hoang Dieu Street,https://www.danangmls.com/listing/land-plots-for-sale-on-hoang-dieu-street-ecs9f5,114000.0,,55.0,2072.73,1,Land,Land,16 hours ago,,16.0544,108.2022,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""Land Plots for Sale on Hoang Dieu Street"",""description"":""Owner selling a cluster of 5 lots on 5m-wide Hoang Dieu Street, Hai Chau! Just 20m from the main road... The location is very beautiful, near Dragon Bridge, Nguyen Van Linh Street, the food street, and the market....\n\n- Area of each lot from 55m2 - 70m2\n\n- Price from only 3 billion - 4 billion VND\n\n- Suitable for building an apartment building, homestay, villa with garden and pool, store...\n\nContact to view the land and finalize a good price: 0859 336 558 Vỹ\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes"",""url"":""https://danangmls.com/listing/land-plots-for-sale-on-hoang-dieu-street-ecs9f5"",""price"":""$114,000 - $152,000"",""image"":""https://images.danang.homes/forsale/land-plots-for-sale-on-hoang-dieu-street-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Hai Chau"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","Owner selling a cluster of 5 lots on 5m-wide Hoang Dieu Street, Hai Chau! Just 20m from the main road... The location is very beautiful, near Dragon Bridge, Nguyen Van Linh Street, the food street, and the market....

- Area of each lot from 55m2 - 70m2

- Price from only 3 billion - 4 billion VND

- Suitable for building an apartment building, homestay, villa with garden and pool, store...

Contact to view the land and finalize a good price: 0859 336 558 Vỹ",2026-08-31T08:15:46.447792
Land with Free House for Sale Near 36M Road,https://www.danangmls.com/listing/land-with-free-house-for-sale-near-36m-road-12jiz9,38000.0,,,,1,Land,Land,3 hours ago,,16.1,108.138,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""Land with Free House for Sale Near 36M Road"",""description"":""Beautifully located land with free cấp 4 (single-story) house, adjacent to the developing 36M road connecting to industrial zones and Hue intersection. The area is developing, offering potential for price appreciation upon road completion. Ideal for living, asset retention, or investment.\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes"",""url"":""https://danangmls.com/listing/land-with-free-house-for-sale-near-36m-road-12jiz9"",""price"":""$76,000 - $95,000"",""image"":""https://images.danang.homes/forsale/land-with-free-house-for-sale-near-36m-road-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Lien Chieu"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","Beautifully located land with free cấp 4 (single-story) house, adjacent to the developing 36M road connecting to industrial zones and Hue intersection. The area is developing, offering potential for price appreciation upon road completion. Ideal for living, asset retention, or investment.",2026-08-31T08:15:48.104955
Owner Selling Two Plots on Au Co Street for Sale,https://www.danangmls.com/listing/owner-selling-two-plots-on-au-co-street-for-sale-x93q5w,121600.0,,400.0,304.0,1,Land,Land,5 hours ago,,,,,"{""@context"":""https://schema.org"",""@type"":""RealEstateListing"",""name"":""Owner Selling Two Plots on Au Co Street for Sale"",""description"":""Owner selling at a loss two plots of land on Au Co Street - Nam Phuoc. Area 400m2, one plot already has a ready-built ground-level house. 5.5m wide asphalt road under construction. Direct transaction with the owner, no intermediaries.\n\n📞 Zalo / WhatsApp: +84 973 747 373\n📧 Email: danang4homes@gmail.com\n🌐 Website: danang.homes"",""url"":""https://danangmls.com/listing/owner-selling-two-plots-on-au-co-street-for-sale-x93q5w"",""price"":""$121,600"",""image"":""https://images.danang.homes/forsale/owner-selling-two-plots-on-au-co-street-for-sale-1.jpg"",""numberOfRooms"":""0"",""address"":{""@type"":""PostalAddress"",""addressLocality"":""Not Provided"",""addressRegion"":""Da Nang"",""addressCountry"":""VN""}}","Owner selling at a loss two plots of land on Au Co Street - Nam Phuoc. Area 400m2, one plot already has a ready-built ground-level house. 5.5m wide asphalt road under construction. Direct transaction with the owner, no intermediaries.",2026-08-31T08:15:49.854333
