title,url,price_usd,price_vnd_text,size_m2,price_per_m2_usd,bedrooms,property_type,district,listed_text,listed_approx_date,latitude,longitude,agent,contact,description,scraped_at,source
Affordable Land Plot for Sale in Cam Le District,https://www.danangmls.com/listing/affordable-land-plot-for-sale-in-cam-le-district-dogpbh,67600.0,,81.0,834.57,0,Land,Cam Le,13 hours ago,2026-08-31,15.995,108.198,,84 973 747 373,"This is a fantastic land plot located near Nguyen Nhu Dai Street in Cam Le District. The property measures 81 square meters with a 7-meter width and features a 4-meter wide alleyway for easy car access right to the site. The plot is ready with a ""Red Book"" land use certificate, allowing for immediate notarization and transfer. It is perfect for building a home, living, or holding as a long-term investment. The price is only 1.69 billion VND for this single lot—a truly great opportunity! Don't miss out on this prime investment.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:58:18.491230+00:00,danangmls
Spacious 120m² Plot for Sale Near Market,https://www.danangmls.com/listing/spacious-120m-plot-for-sale-near-market-1kbz3b,57000.0,,120.0,475.0,0,Land,Cam Le,1 day ago,2026-08-31,15.995,108.198,,84 973 747 373,"This is a desirable 120 square meter plot with a 4.5-meter road frontage, conveniently located near Huong Phuoc Hoa Lien Market. It is just about 50 meters from the main road 601.
📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:27.721352+00:00,danangmls
Coastal Land Plot for Sale in Da Nang with Prime Location,https://www.danangmls.com/listing/coastal-land-plot-for-sale-in-da-nang-with-prime-location-3ilyip,169100.0,,92.5,1828.11,0,Land,Lien Chieu,1 hour ago,2026-09-01,16.1,108.138,,84 973 747 373,"A pristine land plot close to Nguyen Tat Thanh Beach, ready for your investment! This property offers a generous 92.5m² area (5m width) on a 5.5m wide road with a 3m sidewalk. The land is square, elevated, and has clear legal documentation.

Its location is exceptionally promising:
* Less than 500m to Nguyen Tat Thanh Beach.
* Close to Nguyen Trai High School and Bach Khoa University.
* Just minutes away from Mikazuki Japanese Resort & Spa.
* The established residential area features synchronized infrastructure, making it suitable for building a home, investing, or holding as a long-term asset.

Price: $169,100 for sale

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:58:26.285672+00:00,danangmls
Coconut View Land Plot for Sale in Tran Nhan Tong,https://www.danangmls.com/listing/coconut-view-land-plot-for-sale-in-tran-nhan-tong-7k48w3,89300.0,,,,0,Land,Hoi An,8 hours ago,2026-09-01,15.8801,108.338,,84 973 747 373,"Land plot with coconut tree view on Tran Nhan Tong alley - Cam Thanh - Hoi An.
*   Area: 5m x 21m. 🧭 Southwest facing.
*   Fronts onto a 3m wide concrete road.
*   Location: More than 3km from the ancient town. High, dry, quiet, and cool area. Never floods.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:58:27.909252+00:00,danangmls
Goldenhill Land Plot for Sale in Prime Da Nang Location,https://www.danangmls.com/listing/goldenhill-land-plot-for-sale-in-prime-da-nang-location-yeamyv,114000.0,,125.0,912.0,0,Land,Hai Chau,1 day ago,2026-08-31,16.0544,108.2022,,84 973 747 373,"Spacious land plot for sale in the coveted Goldenhill area. This property boasts a generous area of 125m2, featuring a 7.5m wide road front and 4m wide sidewalks. Located in Block A4, it is just 200 meters from Nguyen Tat Thanh Street, offering excellent accessibility and a cool Northeast orientation.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:58:31.045414+00:00,danangmls
Goldenhill Land with Prime Access for Sale,https://www.danangmls.com/listing/goldenhill-land-with-prime-access-for-sale-1vpblr,114000.0,,125.0,912.0,0,Land,Son Tra,1 day ago,2026-08-31,16.09,108.25,,84 973 747 373,"Beautiful land for sale in the desirable Goldenhill area. This 125 sqm plot faces Northeast for cool breezes and features a 7.5m road with 4m wide sidewalks. Located in zone A4, it is just 200 meters from Nguyen Tat Thanh Street. An excellent investment opportunity.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:58:32.653906+00:00,danangmls
Land for sale on 5.5m road near Tân Trà beach,https://www.danangmls.com/listing/land-for-sale-on-5-5m-road-near-t-n-tr-beach-1dsrl4,163400.0,,100.0,1634.0,0,Land,Ngu Hanh Son,18 hours ago,2026-08-31,16.0,108.252,,84 973 747 373,"For sale: 100m² clean land on a 5.5m wide road with a 3m sidewalk in the Trà Lộ area. Prime location near Tân Trà beach and Cổ Cò river, overlooking Newton Diamond building and the area's largest golf course. Just one bridge away from FPT University. This is a bustling residential area with high development potential and is ideal for building a home, starting a business, creating apartments, or long-term investment.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:58:34.242962+00:00,danangmls
Land for Sale on Hong Phuoc 1 Street in Da Nang,https://www.danangmls.com/listing/land-for-sale-on-hong-phuoc-1-street-in-da-nang-l0v6au,120000.0,,100.0,1200.0,0,Land,Lien Chieu,1 day ago,2026-08-31,16.1,108.138,,84 973 747 373,"For sale: Land on Hong Phuoc 1 Street, Lien Chieu District, Da Nang City.
Location: A crowded residential area, main road connecting to ECOHOME apartment complex.
Area: 100m2 (5x20).
Road: 5.5m with 3m sidewalks.
Direction: Southwest.
Legal: Red Book (Land Use Certificate).
Selling price: 3 billion VND (negotiable, direct owner).
Contact: 0935 55 12 82, 0936 55 12 82.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes

Price: $114,000 for sale",2026-09-01T08:58:35.816849+00:00,danangmls
Land on Nguyen Duc Thieu Street for Sale,https://www.danangmls.com/listing/land-on-nguyen-duc-thieu-street-for-sale-17rkgr,190000.0,,92.2,2060.74,0,Land,Cam Le,9 hours ago,2026-08-31,15.995,108.198,,84 973 747 373,"FOR SALE: Land on Nguyen Duc Thieu Street, Cam Le District, Da Nang.
This is a prime location, parallel to Thang Long Street, in a densely populated area with high-quality residents.
Land area: 92.2 sqm (width 5m).
Road width: 5.5m with a 3m sidewalk.
Orientation: Northwest.
Legal status: Pink Certificate (full ownership).
Price: 5 billion VND - negotiable with serious buyers.
Contact the owner directly via phone or Zalo.

f4de Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes

Price: $190,000 for sale",2026-09-01T08:58:37.383948+00:00,danangmls
"Prime Land Plot for Sale in Hoa Xuan, Da Nang",https://www.danangmls.com/listing/prime-land-plot-for-sale-in-hoa-xuan-da-nang-g83wyl,114000.0,,100.0,1140.0,0,Land,Cam Le,7 hours ago,2026-09-01,15.995,108.198,,84 973 747 373,"FOR SALE - A land plot located on a 5.5m-wide road in the residential resettlement area (TĐC) Ben Xe Duc Long, Hoa Xuan, Da Nang.
📐 Area: 100m2
🍀 Orientation: East
💰 Excellent location with great potential.
📞 Please contact for viewing and more details.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:07.303103+00:00,danangmls
Land with Free House for Sale Near 36M Road,https://www.danangmls.com/listing/land-with-free-house-for-sale-near-36m-road-12jiz9,76000.0,,,,0,Land,Lien Chieu,1 day ago,2026-08-31,16.1,108.138,,84 973 747 373,"Beautifully located land with free cấp 4 (single-story) house, adjacent to the developing 36M road connecting to industrial zones and Hue intersection. The area is developing, offering potential for price appreciation upon road completion. Ideal for living, asset retention, or investment.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:58:40.630878+00:00,danangmls
Prime 70m2 Land for Sale Near Ba Na Hills,https://www.danangmls.com/listing/prime-70m2-land-for-sale-near-ba-na-hills-8cdytx,77900.0,,70.0,1112.86,0,Land,Hoa Vang,18 hours ago,2026-08-31,16.0667,107.9738,,84 973 747 373,"Selling a 70m2 plot of land with a 5m frontage, located on a 7.5m road near DH2, just 200m from the Ba Na Commune administrative center (formerly Hoa Nhon) in Hoa Vang, Da Nang.
- Convenient for small business ventures.
- Close proximity to Ba Na Hills road.
- Red book (sổ hồng) available.
- Price negotiable for serious buyers.
- Bank loan support available.
📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:58:46.873142+00:00,danangmls
