title,url,price_usd,price_vnd_text,size_m2,price_per_m2_usd,bedrooms,property_type,district,listed_text,listed_approx_date,latitude,longitude,agent,contact,description,scraped_at,source
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_6246581,105769.23,₫ 2.75 billion,90.0,1175.21,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /6 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.75 billion 90 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:01.447818,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_2948515,84615.38,₫ 2.2 billion,180.0,470.09,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /7 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.2 billion 180 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Linh Call",2026-09-01T09:17:01.448209,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_2966072,71153.85,₫ 1.85 billion,108.0,658.83,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /7 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.85 billion 108 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Linh Call",2026-09-01T09:17:01.448590,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4686053,94230.77,₫ 2.45 billion,100.0,942.31,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /2 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.45 billion 100 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:21.386195,dotproperty
"Land for sale in Khue My, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4727610,94230.77,₫ 2.45 billion,105.0,897.44,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Khue My, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.45 billion 105 m 2 Land for sale located at Khue My, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:21.335688,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_6057523,96153.85,₫ 2.5 billion,112.0,858.52,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /5 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.5 billion 112 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:01.450805,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_5053852,98076.92,₫ 2.55 billion,144.0,681.09,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /5 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.55 billion 144 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:17.962265,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_5117309,105000.0,₫ 2.73 billion,105.0,1000.0,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.73 billion 105 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:04.778250,dotproperty
"Land for sale in Hoa Minh, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-minh-da-nang_6456916,136538.46,₫ 3.55 billion,95.0,1437.25,,Land,Lien Chieu District,,,,,,,"‹ › 1 /6 Land for sale in Hoa Minh, Da Nang Lien Chieu District, Da Nang ₫ 3.55 billion 95 m 2 Car park Panoramic view Land for sale of Phuong Trang urban area, Hoa Minh ward, Lien Chieu district, Da Nang . Located near Nguyen Sinh Sac.- Road 6m, sidewalk 3m.- Area: 95m2.- Horizontal 5m, length 19m.- Northeast.- Clean, not stick drain. Red book notarized immediately.- Price: 3,550 billion (negotiable).Contact: 089908---- Phước Hồ Call",2026-09-01T09:17:04.779093,dotproperty
"Land for sale in An Khe, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-an-khe-da-nang_6832069,148230.77,₫ 3.854 billion,90.0,1647.01,,Land,Thanh Khe District,,,,,,,"‹ › 1 /6 Land for sale in An Khe, Da Nang Thanh Khe District, Da Nang ₫ 3.854 billion 90 m 2 Land for sale located at An Khe, Thanh Khe District. Phước Hồ Call",2026-09-01T09:17:04.788404,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4448945,61538.46,₫ 1.6 billion,100.0,615.38,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.6 billion 100 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:08.049379,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_2904383,59615.38,₫ 1.55 billion,104.0,573.22,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.55 billion 104 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Linh Call",2026-09-01T09:17:04.789791,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_4969684,105769.23,₫ 2.75 billion,144.0,734.51,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.75 billion 144 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:21.386546,dotproperty
